time,wavelength,intensity,temperature
60.8,575.7104793,0.58144367,200.0623441
61.3,575.776812,0.581025397,200.0623441
61.8,575.849253,0.581216604,200.2369077
62.31666667,575.9127008,0.581095983,200.3117207
62.81666667,575.9735675,0.581385008,200.3366584
63.31666667,575.9840978,0.580568475,200.0374065
63.83333333,576.0383178,0.580207916,199.7619048
64.33333333,576.081215,0.581558047,199.4360902
64.85,576.1876734,0.580089369,199.1102757
65.35,576.1651288,0.580122158,198.8596491
65.85,576.2085447,0.580273131,198.5588972
66.36666667,576.2735042,0.579849924,198.5588972
66.86666667,576.3216153,0.580457952,198.6842105
67.38333333,576.3482972,0.580116292,198.9348371
67.88333333,576.3832771,0.579739874,199.0601504
68.4,576.426554,0.579661192,199.235589
68.9,576.4474821,0.580626092,199.5363409
69.4,576.5278329,0.579857839,199.7368421
69.91666667,576.5332773,0.581692406,199.7869674
70.41666667,576.6509182,0.57952934,199.9122807
70.93333333,576.6754827,0.579539483,200.0124688
71.43333333,576.6870348,0.579884735,200.286783
71.93333333,576.7279632,0.580000065,200.4613466
72.45,576.6809817,0.580578943,200.5112219
72.95,576.8121024,0.579556388,200.4613466
73.45,576.8231169,0.580489176,200.4613466
73.96666667,576.8541906,0.580057485,200.5361596
74.46666667,576.942507,0.579957257,200.5860349
74.98333333,576.9374683,0.579140689,200.5112219
75.48333333,576.9957665,0.580083263,200.3865337
75.98333333,577.0377587,0.579636941,200.3366584
76.5,577.065853,0.580392863,200.3366584
77,577.0775835,0.579672443,200.361596
77.51666667,577.1523162,0.579362642,200.4114713
78.01666667,577.1802575,0.579458181,200.3865337
78.51666667,577.1705726,0.579597689,200.361596
79.03333333,577.2200767,0.579976176,200.2119701
79.53333333,577.225694,0.579089306,200.0623441
80.05,577.2772726,0.579963663,200.0623441
80.55,577.3374391,0.579405032,200.0124688
81.05,577.3481975,0.579705174,200.1371571
81.56666667,577.3472117,0.580768885,200.2119701
82.06666667,577.3889233,0.58008971,200.2618454
82.58333333,577.4709246,0.579839705,200.436409
83.08333333,577.5186781,0.579530976,200.5860349
83.58333333,577.5319675,0.578606268,200.7107232
84.1,577.5409064,0.579335235,200.6857855
84.6,577.6172829,0.57880113,200.7605985
85.11666667,577.6783606,0.579194755,200.7605985
85.61666667,577.694715,0.578910534,200.7855362
86.11666667,577.6852479,0.579121937,200.8354115
86.63333333,577.7056703,0.579301235,200.9600998
87.13333333,577.7320525,0.57948292,200.9600998
87.65,577.8027794,0.578672138,201.1097257
88.15,577.7725484,0.579132917,201.084788
88.65,577.8587587,0.578907265,201.2094763
89.16666667,577.8275589,0.579595769,201.234414
89.66666667,577.9303637,0.578210828,201.4089776
90.18333333,577.9176559,0.578938923,201.4089776
90.68333333,577.9829264,0.578833189,201.4837905
91.18333333,577.9509387,0.579292274,201.4339152
91.7,577.9917693,0.578535231,201.4339152
92.2,578.0192789,0.579080062,201.3341646
92.71666667,578.0182719,0.579463152,201.3591022
93.21666667,578.0484849,0.579986593,201.1346633
93.73333333,578.0867459,0.579583522,201.084788
94.23333333,578.1414315,0.578748592,200.9600998
94.73333333,578.156676,0.578951514,200.9351621
95.25,578.1328024,0.578616719,200.8603491
95.75,578.1663069,0.578578943,200.9102244
96.26666667,578.2627356,0.579142616,200.9850374
96.76666667,578.2861232,0.5782275,201.0099751
97.26666667,578.2980093,0.578868307,201.0099751
97.78333333,578.2977197,0.578672734,201.0349127
98.28333333,578.3290739,0.578353267,200.8603491
98.78333333,578.3494987,0.578661514,200.8354115
99.3,578.4068788,0.578445206,200.9102244
99.8,578.4296297,0.578741313,200.9102244
100.3166667,578.4205319,0.578334071,201.1097257
100.8166667,578.4297442,0.580092994,201.1097257
101.3166667,578.4767134,0.578935525,201.234414
101.8333333,578.5334386,0.57873738,201.3092269
102.3333333,578.5420254,0.578051955,201.5087282
102.85,578.5359732,0.579036363,201.6084788
103.35,578.59376,0.578086952,201.5586035
103.85,578.6027805,0.578598593,201.4339152
104.3666667,578.5958818,0.579197164,201.5087282
104.8666667,578.636218,0.578671693,201.5586035
105.3833333,578.6666456,0.578432561,201.5586035
105.8833333,578.7395083,0.577913102,201.5835411
106.4,578.6929918,0.57883397,201.5835411
106.9,578.6845542,0.578301926,201.6084788
107.4,578.7901036,0.578045596,201.4837905
107.9166667,578.7717929,0.578697476,201.5835411
108.4166667,578.8113759,0.578848939,201.6334165
108.9333333,578.8207328,0.577979663,201.6334165
109.4333333,578.8226232,0.578474955,201.80798
109.9333333,578.8913085,0.578494359,201.882793
110.45,578.8995618,0.578391216,201.9326683
110.95,578.8923581,0.578361177,201.9825436
111.45,578.9620581,0.578171467,202.1072319
111.9666667,578.9474573,0.579385796,202.1571072
112.4666667,578.9767017,0.578835853,202.2319202
112.9833333,579.0116383,0.578986279,202.1820449
113.4833333,579.0454739,0.578416178,202.032419
113.9833333,579.0269487,0.57843754,201.8578554
114.5,579.0728299,0.577523431,201.882793
115,579.1046053,0.577932087,201.882793
115.5166667,579.097065,0.578199265,201.8329177
116.0166667,579.0885136,0.577862422,201.6334165
116.5166667,579.1717322,0.57815406,201.6334165
117.0333333,579.1151723,0.577866749,201.6583541
117.5333333,579.1824297,0.578189367,201.6832918
118.05,579.194645,0.578966266,201.6832918
118.55,579.1739658,0.578463633,201.6832918
119.05,579.2332408,0.57823499,201.6334165
119.5666667,579.2383966,0.578500109,201.6334165
120.0666667,579.2781408,0.578329505,201.80798
120.5833333,579.2956667,0.578746095,201.8329177
121.0833333,579.2759784,0.578991821,201.9077307
121.5833333,579.3267927,0.578400893,201.882793
122.1,579.3681013,0.577587693,201.9825436
122.6,579.3765732,0.577889524,202.1072319
123.1166667,579.374021,0.578967788,202.1571072
123.6166667,579.3768767,0.57874645,202.2069825
124.1166667,579.4549506,0.577725179,202.2817955
124.6333333,579.4059167,0.578503366,202.2069825
125.1333333,579.4488677,0.578036938,202.2817955
125.65,579.4398383,0.578427873,202.2069825
126.15,579.5158746,0.577978114,202.1820449
126.65,579.5047414,0.57758845,202.1820449
127.1666667,579.5451961,0.578066187,202.1072319
127.6666667,579.5277557,0.578661036,202.0822943
128.1833333,579.5426115,0.578667281,202.032419
128.6833333,579.5663405,0.577565986,202.0573566
129.1833333,579.5936723,0.578481531,202.2319202
129.7,579.5948275,0.578314671,202.3067332
130.2,579.614013,0.578155934,202.4563591
130.7166667,579.6417943,0.57689704,202.605985
131.2166667,579.6726715,0.577839451,202.5561097
131.7166667,579.6728909,0.577631888,202.4563591
132.2333333,579.7073437,0.577936358,202.4812968
132.7333333,579.7507903,0.578290831,202.4812968
133.25,579.7516817,0.577499517,202.3316708
133.75,579.7657207,0.577095198,202.032419
134.25,579.7674743,0.577374361,201.80798
134.7666667,579.7436679,0.578855812,201.6583541
135.2666667,579.7626548,0.577813827,201.5835411
135.7833333,579.8058606,0.577367428,201.5087282
136.2833333,579.792276,0.577314321,201.4089776
136.7833333,579.8456508,0.577634991,201.234414
137.3,579.8500327,0.577445019,201.1845387
137.8,579.8550846,0.578213607,201.2094763
138.3166667,579.897099,0.576918015,201.1845387
138.8166667,579.8727697,0.577652549,201.0598504
139.3166667,579.8956413,0.577565459,201.0349127
139.8333333,579.9343755,0.57751835,200.9600998
140.3333333,579.9003651,0.577717688,200.8852868
140.85,579.9315593,0.578335763,200.9351621
141.35,579.9135932,0.576962486,201.0099751
141.85,579.9825926,0.577519293,201.2094763
142.3666667,579.9490139,0.577579112,201.1346633
142.8666667,579.988694,0.577624512,200.9850374
143.3833333,580.0021228,0.577229497,200.6608479
143.8833333,580.055821,0.576424679,200.6109726
144.3833333,580.0706495,0.576853495,200.5860349
144.9,580.0173287,0.57792871,200.5361596
145.4,580.0537405,0.577067473,200.5860349
145.9166667,580.059881,0.577812879,200.4114713
146.4166667,580.0938431,0.57706863,200.4114713
146.9166667,580.1259747,0.576875293,200.4114713
147.4333333,580.1264937,0.576729212,200.4862843
147.9333333,580.1295932,0.577109185,200.5361596
148.45,580.1196458,0.577411945,200.8603491
148.95,580.1295698,0.577525899,201.1097257
149.45,580.1697575,0.577516024,201.2094763
149.9666667,580.2029592,0.578061904,201.5336658
150.4666667,580.253632,0.577250081,201.6084788
150.9833333,580.2113448,0.577028005,201.5586035
151.4833333,580.2231426,0.577453452,201.6832918
151.9833333,580.2581246,0.577537055,201.8578554
152.5,580.2768822,0.577498631,201.9326683
153,580.3011843,0.577127325,202.0573566
153.5166667,580.3358433,0.576554995,202.2069825
154.0166667,580.3109009,0.576177948,202.3067332
154.5166667,580.3182255,0.578033078,202.4563591
155.0333333,580.3381309,0.577271129,202.5810474
155.5333333,580.3544708,0.577062841,202.5062344
156.05,580.3225805,0.577232921,202.5561097
156.55,580.4197866,0.577149152,202.5062344
157.05,580.3951113,0.577515071,202.5810474
157.5666667,580.4511392,0.576533264,202.7805486
158.0666667,580.4660263,0.576268879,202.9551122
158.5833333,580.3954113,0.578275267,202.9800499
159.0833333,580.4589774,0.577126477,203.1296758
159.5833333,580.4879291,0.57701817,203.2793017
160.1,580.4695441,0.577744905,203.3042394
160.6,580.5118532,0.577205963,203.2543641
161.1166667,580.4899293,0.576917676,203.3291771
161.6166667,580.4941216,0.577173455,203.2294264
162.1166667,580.5301483,0.576725278,203.1546135
162.6333333,580.5116323,0.576940181,203.2793017
163.1333333,580.539801,0.577990181,203.3291771
163.65,580.526537,0.577537029,203.40399
164.15,580.5458257,0.5775725,203.5037406
164.65,580.5921662,0.576683099,203.4289277
165.1666667,580.5769433,0.577508882,203.478803
165.6666667,580.5666267,0.577340384,203.478803
166.1833333,580.6222455,0.577065136,203.5286783
166.6833333,580.6099332,0.577233825,203.6783042
167.1833333,580.6447311,0.577023176,203.6533666
167.7,580.6569492,0.576685503,203.7281796
168.2,580.6529915,0.577422427,203.8279302
168.7166667,580.6484298,0.577211886,203.7531172
169.2166667,580.6452386,0.577249324,203.7780549
169.7166667,580.7130706,0.576931691,203.6533666
170.2333333,580.7337571,0.576786907,203.7281796
170.7333333,580.7138953,0.577085897,203.553616
171.25,580.7216571,0.577132824,203.4289277
171.75,580.755175,0.577393555,203.4538653
172.25,580.7496994,0.576134813,203.40399
172.7666667,580.751945,0.577759782,203.3541147
173.2666667,580.8149735,0.576755864,203.3790524
173.7666667,580.7467668,0.57681839,203.3291771
174.2833333,580.758616,0.577824499,203.3541147
174.7833333,580.7532465,0.576992047,203.3042394
175.3,580.7819874,0.577283062,203.2543641
175.8,580.7865714,0.577535773,203.2044888
176.3166667,580.8164686,0.577251543,203.2793017
176.8166667,580.8008924,0.577357336,203.2793017
177.3166667,580.8807786,0.576800976,203.2294264
177.8333333,580.8365212,0.577154248,203.2044888
178.3333333,580.8762687,0.57717112,203.2044888
178.85,580.8756361,0.577746216,203.3291771
179.35,580.9505601,0.577344383,203.3291771
179.85,580.9478336,0.576891805,203.3042394
180.3666667,580.9608861,0.57678076,203.3541147
180.8666667,580.8985534,0.577984302,203.40399
181.3666667,580.9844771,0.577463276,203.4538653
181.8833333,580.9659168,0.576906301,203.5286783
182.3833333,581.0110503,0.577071223,203.5286783
182.9,581.0011302,0.576642984,203.553616
183.4,581.0253564,0.577159794,203.6533666
183.9,580.9790063,0.577244159,203.5785536
184.4166667,581.0025438,0.577136303,203.6034913
184.9166667,581.0528538,0.576740413,203.6034913
185.4333333,581.0305001,0.577429612,203.553616
185.9333333,581.0190891,0.57796893,203.5037406
186.4333333,581.000793,0.577188207,203.4538653
186.95,581.0290179,0.579020496,203.5037406
187.45,581.1107441,0.577302855,203.4538653
187.9666667,581.087628,0.57705399,203.553616
188.4666667,581.1170112,0.576766634,203.3291771
188.9666667,581.0914096,0.577780387,203.3291771
189.4833333,581.1150585,0.577474667,203.40399
189.9833333,581.1300891,0.577359494,203.5785536
190.5,581.150083,0.576877871,203.5785536
191,581.116707,0.577557145,203.5785536
191.5,581.1513693,0.577734805,203.6034913
192.0166667,581.1597932,0.577380289,203.6783042
192.5166667,581.1791856,0.577588127,203.7281796
193.0333333,581.2227439,0.576568529,203.7281796
193.5333333,581.1779442,0.577080494,203.7032419
194.0333333,581.1642098,0.578414862,203.6783042
194.55,581.1820963,0.576668324,203.6783042
195.05,581.2549227,0.577286873,203.6034913
195.5666667,581.2729199,0.577263434,203.6284289
196.0666667,581.2419757,0.576518237,203.6034913
196.5666667,581.2431131,0.57737787,203.6783042
197.0833333,581.2353242,0.577476001,203.7032419
197.5833333,581.229537,0.577461022,203.7531172
198.1,581.3023721,0.577144537,203.8528678
198.6,581.2923825,0.576829543,203.9276808
199.1,581.2667777,0.577228551,204.0024938
199.6166667,581.3012696,0.576745844,204.0773067
200.1166667,581.2933415,0.578697609,204.0773067
200.6333333,581.3083699,0.5769852,204.127182
201.1333333,581.3318345,0.576723066,204.127182
201.65,581.3702098,0.576751562,204.1521197
202.15,581.3566915,0.577587905,204.1770574
202.65,581.3654914,0.577445138,204.201995
203.1666667,581.3381182,0.577445008,204.1770574
203.6666667,581.3847269,0.577153564,204.1022444
204.1833333,581.3751125,0.578027921,204.201995
204.6833333,581.3897655,0.577837317,204.1770574
205.1833333,581.4395301,0.57641011,204.1770574
205.7,581.4158062,0.576930012,204.1521197
206.2,581.4263395,0.577159886,204.0274314
206.7166667,581.4395195,0.576156341,203.9775561
207.2166667,581.4462785,0.577579955,204.0274314
207.7166667,581.4355584,0.577719494,204.0024938
208.2333333,581.4598288,0.577469838,204.0523691
208.7333333,581.449993,0.577390046,203.9276808
209.25,581.4682328,0.577740541,203.8528678
209.75,581.4934243,0.576774591,203.8778055
210.25,581.5046109,0.577900641,204.0523691
210.7666667,581.5275766,0.576827615,204.127182
211.2666667,581.4907769,0.577523746,204.0523691
211.7833333,581.4808324,0.577669275,203.9526185
212.2833333,581.4978538,0.577454656,203.9027431
212.7833333,581.5138463,0.577969973,203.8528678
213.3,581.5314911,0.577359658,203.8528678
213.8,581.5686406,0.577285784,203.9276808
214.3166667,581.5330357,0.577186412,203.9276808
214.8166667,581.5464951,0.577815176,204.0274314
215.3166667,581.5942643,0.577489555,204.1022444
215.8333333,581.589177,0.576803025,204.201995
216.3333333,581.5504153,0.577406943,204.201995
216.85,581.5597804,0.578387773,204.0773067
217.35,581.617035,0.576542394,204.0523691
217.85,581.6241592,0.577036668,204.0523691
218.3666667,581.6152138,0.57718594,204.0773067
218.8666667,581.6095509,0.577350263,204.0773067
219.3833333,581.6833985,0.576779205,204.201995
219.8833333,581.602578,0.576875482,204.3017456
220.3833333,581.6338329,0.577530807,204.201995
220.9,581.6121146,0.576455882,204.3017456
221.4,581.6471595,0.576753571,204.3017456
221.9166667,581.6783199,0.577938229,204.2518703
222.4166667,581.6628537,0.577495239,204.1521197
222.9166667,581.6391994,0.577196733,204.1022444
223.4333333,581.6730258,0.577649361,204.0274314
223.9333333,581.6882353,0.57701346,204.1022444
224.45,581.7206188,0.577518264,204.1770574
224.95,581.7177086,0.577775184,204.3017456
225.45,581.7480135,0.577665837,204.3266833
225.9666667,581.728053,0.576507354,204.3516209
226.4666667,581.7235509,0.577056604,204.4264339
226.9833333,581.7702259,0.577150487,204.3765586
227.4833333,581.7629231,0.57718884,204.5012469
227.9833333,581.7450079,0.577568522,204.5760599
228.5,581.8160049,0.576988489,204.6508728
229,581.783437,0.577108678,204.6009975
229.5166667,581.7700203,0.57835199,204.7256858
230.0166667,581.7727645,0.576861373,204.5760599
230.5166667,581.7970191,0.577681833,204.3017456
231.0333333,581.8146397,0.577415984,204.201995
231.5333333,581.8333398,0.576774298,204.0523691
232.05,581.781858,0.577305698,203.7281796
232.55,581.7688818,0.578091503,203.553616
233.05,581.865383,0.577125544,203.4538653
233.5666667,581.8592409,0.577477558,203.3790524
234.0666667,581.8320219,0.577388272,203.2294264
234.5833333,581.8495116,0.577030378,203.0299252
235.0833333,581.8300072,0.577656167,202.8304239
235.5833333,581.8400419,0.577794753,202.5311721
236.1,581.8662754,0.577284595,202.4563591
236.6,581.858253,0.577562592,202.3067332
237.1166667,581.8549361,0.577814764,202.1571072
237.6166667,581.8524854,0.577465368,202.0573566
238.1333333,581.8695112,0.577303985,201.957606
238.6333333,581.8977586,0.577448649,202.032419
239.1333333,581.8893375,0.576994988,201.9326683
239.65,581.8561721,0.578311253,201.7331671
240.15,581.8909773,0.577065355,201.6832918
240.65,581.8949887,0.576966991,201.5087282
241.1666667,581.9389853,0.577293534,201.3840399
241.6666667,581.9267593,0.577399024,201.4089776
242.1833333,581.9532053,0.578087699,201.3840399
242.6833333,581.8937813,0.57698714,201.3092269
243.2,581.9493954,0.577524102,201.2593516
243.7,582.0019202,0.577758046,201.1845387
244.2,581.9827826,0.577828776,201.0099751
244.7166667,581.9826981,0.577998232,200.9102244
245.2166667,581.9939427,0.577326448,200.7356608
245.7333333,581.998169,0.578071558,200.5361596
246.2333333,581.9879722,0.577376508,200.4613466
246.7333333,581.9931695,0.577612204,200.286783
247.25,582.0244834,0.577428116,200.361596
247.75,582.0420815,0.577011302,200.436409
248.2666667,581.9915,0.577617255,200.4613466
248.7666667,581.9647165,0.577148455,200.361596
249.2666667,581.9738061,0.57700482,200.1870324
249.7833333,582.0299774,0.577798398,200.286783
250.2833333,582.0261676,0.577226491,200.286783
250.8,582.0438662,0.578000662,200.3117207
251.3,582.0091381,0.577716861,200.2119701
251.8,582.0669198,0.577161066,200.361596
252.3166667,582.040008,0.577732086,200.361596
252.8166667,582.0059293,0.578285644,200.2369077
253.3333333,582.0630556,0.57706419,200.286783
253.8333333,582.0586387,0.57741717,200.3117207
254.3333333,582.070704,0.57713092,200.286783
254.85,582.1093866,0.577226167,200.3117207
255.35,582.0646033,0.578371178,200.3366584
255.8666667,582.0549802,0.576650897,200.436409
256.3666667,582.1365857,0.577017612,200.436409
256.8666667,582.0662515,0.579140011,200.4862843
257.3833333,582.0724474,0.578085759,200.5112219
257.8833333,582.1094868,0.577191865,200.6109726
258.4,582.1401958,0.577429231,200.5610973
258.9,582.1383673,0.577940916,200.5610973
259.4,582.1639991,0.577776075,200.5361596
259.9166667,582.1493952,0.577108743,200.4613466
260.4166667,582.1743503,0.577805141,200.5610973
260.9333333,582.188027,0.57764224,200.5112219
261.4333333,582.1581136,0.578447227,200.4862843
261.9333333,582.1968835,0.577231516,200.5112219
262.45,582.2020157,0.577157168,200.3865337
262.95,582.1799288,0.577622805,200.3117207
263.4666667,582.2194943,0.577441173,200.361596
263.9666667,582.2416119,0.57739723,200.436409
264.4666667,582.1680703,0.579395147,200.5112219
264.9833333,582.2307219,0.577355681,200.4862843
265.4833333,582.2308769,0.577599682,200.4862843
266,582.2252368,0.577673129,200.436409
266.5,582.2298295,0.577962449,200.3865337
267.0166667,582.2298302,0.577439358,200.4613466
267.5166667,582.2766309,0.578429328,200.436409
268.0166667,582.2530004,0.57723314,200.5112219
268.5333333,582.2764623,0.577791889,200.5361596
269.0333333,582.2602359,0.57857239,200.4862843
269.55,582.23879,0.577710089,200.5610973
270.05,582.3114371,0.577555742,200.6359102
270.55,582.245991,0.578037959,200.6359102
271.0666667,582.2939009,0.577286338,200.6608479
271.5666667,582.2823704,0.57776318,200.6857855
272.0833333,582.2928837,0.577957691,200.6857855
272.5833333,582.2797102,0.579018294,200.6857855
273.0833333,582.309245,0.578120583,200.6608479
273.6,582.3145873,0.577536081,200.7605985
274.1,582.314478,0.578101114,200.7605985
274.6166667,582.3182796,0.577616385,200.8104738
275.1166667,582.3267976,0.57759649,200.7855362
275.6333333,582.3579572,0.577602208,200.8354115
276.1333333,582.3411023,0.577673,200.9102244
276.6333333,582.3212924,0.57741582,200.9600998
277.15,582.3721212,0.577418911,200.9600998
277.65,582.3877203,0.577981954,201.0598504
278.1666667,582.3523627,0.578599988,201.1346633
278.6666667,582.3493753,0.578163955,201.084788
279.1666667,582.3653243,0.578724706,200.9102244
279.6833333,582.3571384,0.57819572,200.9600998
280.1833333,582.3917232,0.578171741,200.9850374
280.7,582.3859323,0.578184216,201.0099751
281.2,582.3878329,0.577993338,201.084788
281.7166667,582.4462922,0.57748342,201.1346633
282.2166667,582.4211581,0.577574748,201.159601
282.7166667,582.4126955,0.577587127,201.2593516
283.2333333,582.4021788,0.578606295,201.2842893
283.7333333,582.4061887,0.578474851,201.3591022
284.25,582.4300835,0.57798433,201.4089776
284.75,582.4318989,0.578195009,201.3840399
285.25,582.468418,0.577643284,201.3591022
285.7666667,582.4432377,0.577726275,201.2094763
286.2666667,582.4544115,0.577942986,201.0099751
286.7833333,582.4723378,0.577605992,200.8354115
287.2833333,582.4483498,0.578416864,200.7107232
287.8,582.4577644,0.57792302,200.5361596
288.3,582.4323874,0.577796025,200.4114713
288.8,582.4464214,0.578718044,200.2369077
289.3166667,582.4870502,0.578507532,200.1371571
289.8166667,582.4781987,0.577583228,200.1122195
290.3333333,582.4488855,0.578819656,200.0124688
290.8333333,582.4653718,0.57843107,199.9874687
291.3333333,582.4552215,0.57877221,199.887218
291.85,582.4807335,0.578428599,199.8621554
292.35,582.4683243,0.57822478,199.8120301
292.8666667,582.5043158,0.577763515,199.7869674
293.3666667,582.4890243,0.57905599,199.8120301
293.8833333,582.4817689,0.578123882,199.962406
294.3833333,582.474867,0.57997551,200.0124688
294.8833333,582.4825715,0.577956556,200.0872818
295.4,582.5530323,0.578400334,200.3366584
295.9,582.5303951,0.578515658,200.4862843
296.4166667,582.5216216,0.579058723,200.5610973
296.9166667,582.5822529,0.578839407,200.6359102
297.4166667,582.5427682,0.578936591,200.7605985
297.9333333,582.5750754,0.578425646,200.7855362
298.4333333,582.5143218,0.578609304,200.7605985
298.95,582.5507748,0.579422423,200.7107232
299.45,582.5529853,0.578783523,200.7605985
299.9666667,582.5963117,0.579020019,200.6857855
300.4666667,582.6071072,0.578092138,200.7356608
300.9666667,582.6423269,0.578448549,200.7605985
301.4833333,582.5787257,0.579103315,200.7605985
301.9833333,582.5777168,0.578541545,200.8354115
302.5,582.609368,0.578309995,200.8852868
303,582.6170223,0.579465753,200.9102244
303.5,582.6046956,0.578501406,200.7855362
304.0166667,582.6365315,0.57969325,200.8104738
304.5166667,582.6491966,0.579325286,200.7356608
305.0333333,582.6369655,0.579425072,200.7356608
305.5333333,582.6355595,0.579787512,200.7855362
306.0333333,582.6806346,0.578788485,200.8852868
