lambda,n,k
441,1.771384137,4.553877662
442,1.785391713,4.564824593
443,1.807215429,4.578867503
444,1.830555633,4.588770671
445,1.85377568,4.598722538
446,1.876876353,4.608721287
447,1.899858449,4.618765153
448,1.922722784,4.628852413
449,1.937825406,4.635780562
450,1.952875857,4.642725556
451,1.967874425,4.649686933
452,1.990389554,4.659891818
453,2.012790352,4.670133674
454,2.035077691,4.680410996
455,2.057252453,4.690722321
456,2.071896471,4.697789435
457,2.086490759,4.704869459
458,2.101035617,4.711962007
459,2.122877261,4.722364399
460,2.14460995,4.732795351
461,2.16846323,4.738378708
462,2.192227075,4.744034101
463,2.215901471,4.749759923
464,2.239486434,4.755554593
465,2.255611861,4.75850191
466,2.271700503,4.761484463
467,2.287752314,4.764501792
468,2.306600408,4.768923114
469,2.325392593,4.773387528
470,2.344128894,4.777894265
471,2.362809347,4.782442567
472,2.381433998,4.787031682
473,2.397221343,4.790268277
474,2.415301418,4.788912292
475,2.433362217,4.787614404
476,2.451904786,4.786631078
477,2.47042417,4.785707427
478,2.489531212,4.783668043
479,2.50861999,4.781694556
480,2.527689918,4.779786521
481,2.546740422,4.777943482
482,2.565770961,4.776164995
483,2.584780985,4.774450591
484,2.603769958,4.772799806
485,2.623580268,4.769679244
486,2.643376371,4.766631092
487,2.657337653,4.760403702
488,2.670938483,4.754883004
489,2.684549341,4.749400506
490,2.69816991,4.743956246
491,2.717095487,4.741582846
492,2.736383795,4.738614032
493,2.755656837,4.735713033
494,2.769669391,4.729806395
495,2.783307264,4.72459515
496,2.796952665,4.719422021
497,2.810605285,4.714287016
498,2.824264813,4.709190136
499,2.838322766,4.703481986
500,2.852390094,4.69781466
501,2.866466451,4.69218818
502,2.879830545,4.687775821
503,2.893197673,4.683399314
504,2.906567562,4.679058617
505,2.919939942,4.674753683
506,2.931394772,4.669278983
507,2.94285904,4.663831946
508,2.954332547,4.658412613
509,2.965815098,4.653021023
510,2.979212994,4.648878757
511,2.992611863,4.64477207
512,3.006011444,4.640700895
513,3.019747726,4.636148868
514,3.031975054,4.630644958
515,3.044210851,4.625172397
516,3.056454881,4.619731208
517,3.069123329,4.613695339
518,3.081802268,4.607693409
519,3.092994732,4.600719119
520,3.105886693,4.591281464
521,3.118807115,4.581880017
522,3.131755695,4.572515034
523,3.142600148,4.56628248
524,3.149746038,4.557510297
525,3.156913195,4.548747182
526,3.164101602,4.539993276
527,3.171311239,4.531248722
528,3.178542086,4.522513659
529,3.18579412,4.513788229
530,3.193067318,4.505072574
531,3.201149832,4.495259753
532,3.209259003,4.485459101
533,3.217394796,4.475670818
534,3.224229069,4.467734671
535,3.231081027,4.459807687
536,3.237950641,4.451889975
537,3.244837883,4.443981648
538,3.251742721,4.436082813
539,3.258665126,4.428193583
540,3.265605065,4.420314066
541,3.272562503,4.412444372
542,3.279673354,4.404402037
543,3.286802432,4.396370119
544,3.2939497,4.388348736
545,3.301115117,4.380338003
546,3.308298644,4.372338038
547,3.315500237,4.364348957
548,3.322719853,4.356370877
549,3.329957448,4.348403914
550,3.336934674,4.34081018
551,3.343928229,4.333226973
552,3.350938071,4.325654396
553,3.357964155,4.31809255
554,3.363255682,4.309174954
555,3.368566627,4.300260587
556,3.373897011,4.291349559
557,3.379246849,4.282441975
558,3.383221465,4.275299695
559,3.387208261,4.268158831
560,3.391207251,4.261019434
561,3.395047489,4.253745109
562,3.398900138,4.24647173
563,3.402650052,4.2393428
564,3.406411875,4.23221477
565,3.410185631,4.225087696
566,3.413971323,4.217961616
567,3.415382105,4.20889949
568,3.418205041,4.198109777
569,3.421049391,4.187311659
570,3.423915275,4.176505215
571,3.426802814,4.165690522
572,3.427822276,4.157158351
573,3.428852724,4.148617963
574,3.429894221,4.140069368
575,3.430946834,4.131512578
576,3.432010628,4.122947605
577,3.432209042,4.115425321
578,3.432414657,4.107895289
579,3.431432402,4.099357063
580,3.430456404,4.090806498
581,3.429486708,4.082243552
582,3.42852338,4.073668195
583,3.427364443,4.065320039
584,3.426211019,4.056959692
585,3.426262676,4.049601946
586,3.426321048,4.0422365
587,3.426386177,4.034863348
588,3.426458106,4.027482483
589,3.42612756,4.020574178
590,3.425802214,4.013658449
591,3.424280313,4.005707885
592,3.422762451,3.997745548
593,3.421248658,3.989771386
594,3.419738984,3.981785368
595,3.417226536,3.974958408
596,3.414714134,3.968121332
597,3.41123556,3.960441829
598,3.407755097,3.952748838
599,3.404272755,3.945042294
600,3.400788543,3.937322132
601,3.397302473,3.929588285
602,3.39346659,3.923360595
603,3.389626774,3.917123355
604,3.385783013,3.910876524
605,3.381935299,3.904620057
606,3.37808362,3.898353913
607,3.374227968,3.892078047
608,3.370368339,3.885792421
609,3.365259413,3.880932566
610,3.360142855,3.876066736
611,3.355018632,3.871194909
612,3.34988671,3.866317064
613,3.344747055,3.861433178
614,3.339599631,3.856543231
615,3.334444404,3.851647199
616,3.329281339,3.846745062
617,3.324110401,3.841836795
618,3.317991435,3.838009531
619,3.311862531,3.834179629
620,3.305723647,3.83034709
621,3.299574737,3.826511916
622,3.293415758,3.82267411
623,3.287246671,3.81883368
624,3.281067416,3.814990615
625,3.274877957,3.811144924
626,3.26794815,3.808147201
627,3.261006978,3.805149999
628,3.254054398,3.802153341
629,3.247090363,3.799157252
630,3.240114827,3.796161758
631,3.233566498,3.793540865
632,3.227008237,3.790921018
633,3.220439994,3.788302226
634,3.212814711,3.786918246
635,3.205178863,3.785540173
636,3.197532414,3.78416805
637,3.190610962,3.783422264
638,3.183681753,3.782682467
639,3.176744766,3.781948688
640,3.16980001,3.78122098
641,3.162591765,3.780805029
642,3.155375854,3.780396378
643,3.148152262,3.779995061
644,3.142038675,3.780529994
645,3.135921285,3.781071581
646,3.12980012,3.781619863
647,3.123675177,3.782174852
648,3.117546485,3.782736587
649,3.110835218,3.784009028
650,3.104121032,3.785290547
651,3.098157298,3.787197428
652,3.092193031,3.789112301
653,3.086228275,3.791035191
654,3.08026305,3.792966107
655,3.074297377,3.794905053
656,3.068745195,3.796339957
657,3.063191853,3.7977815
658,3.057637362,3.79922969
659,3.05208176,3.800684553
660,3.047192378,3.802680816
661,3.042303572,3.804682776
662,3.03741536,3.806690435
663,3.032527761,3.808703798
664,3.026956197,3.811584724
665,3.021386903,3.814473409
666,3.015819909,3.817369852
667,3.010255248,3.820274048
668,3.005815617,3.824068377
669,3.001380763,3.82786784
670,2.996950704,3.831672418
671,2.992615778,3.835366333
672,2.988285388,3.839065119
673,2.983959568,3.842768774
674,2.979638326,3.846477273
675,2.975321677,3.850190599
676,2.971009638,3.853908737
677,2.966702224,3.857631668
678,2.9625893,3.861111933
679,2.958480447,3.864596558
680,2.954375678,3.868085527
681,2.950274998,3.871578821
682,2.946178439,3.875076437
683,2.942086005,3.878578356
684,2.93799771,3.882084561
685,2.933913566,3.88559504
686,2.929293028,3.889827457
687,2.924678488,3.894065261
688,2.920069964,3.898308427
689,2.915467475,3.902556931
690,2.91087103,3.906810739
691,2.906280663,3.91106984
692,2.901696385,3.915334202
693,2.897031107,3.919721649
694,2.892372283,3.924114495
695,2.887719931,3.92851271
696,2.883074068,3.932916267
697,2.878434712,3.937325139
698,2.87380188,3.941739296
699,2.869175582,3.946158705
700,2.86472771,3.950346349
701,2.860285752,3.95453884
702,2.855849724,3.958736153
703,2.851419641,3.962938264
704,2.846995517,3.967145147
705,2.842577368,3.971356779
706,2.838165208,3.975573134
707,2.833971066,3.979496451
708,2.829782147,3.983424029
709,2.825598478,3.98735586
710,2.821420064,3.991291918
711,2.817246917,3.995232183
712,2.813079049,3.999176633
713,2.808916473,4.003125248
714,2.804759198,4.007078008
715,2.79998044,4.011932795
716,2.795209549,4.016792874
717,2.790446534,4.021658205
718,2.785691427,4.026528762
719,2.780944233,4.031404502
720,2.776204968,4.036285389
721,2.771473647,4.041171386
722,2.766832541,4.045942168
723,2.762199038,4.050717832
724,2.757573151,4.055498345
725,2.752954893,4.060283672
726,2.748344267,4.065073773
727,2.743741304,4.069868626
728,2.739146007,4.074668189
729,2.735084855,4.078687186
730,2.731029188,4.082709936
731,2.726979015,4.086736418
732,2.722934346,4.090766609
733,2.718895189,4.094800489
734,2.714861553,4.098838037
735,2.710833439,4.102879225
736,2.706810872,4.106924043
737,2.702275511,4.111761016
738,2.697747921,4.116602394
739,2.693228111,4.121448144
740,2.690369621,4.127375868
741,2.687519884,4.133302759
742,2.684678861,4.139228778
743,2.68184654,4.145153901
744,2.678552596,4.151806974
745,2.675269754,4.158459155
746,2.671997993,4.165110407
747,2.668737293,4.171760697
748,2.665487608,4.178409972
749,2.662248914,4.1850582
750,2.659021193,4.191705346
751,2.657034777,4.19640725
752,2.65505349,4.201108072
753,2.65307733,4.205807808
754,2.651106268,4.210506435
755,2.649140299,4.215203948
756,2.647179423,4.219900342
757,2.645223608,4.224595594
758,2.643272852,4.229289701
759,2.640191215,4.235804318
760,2.637119878,4.242317573
761,2.63405882,4.248829436
762,2.63100802,4.25533988
763,2.627967432,4.261848858
764,2.624937036,4.268356343
765,2.62191681,4.274862309
766,2.618906708,4.281366711
767,2.615906708,4.287869523
768,2.61291679,4.294370718
769,2.609936905,4.300870254
770,2.606967034,4.307368103
771,2.604007155,4.313864241
772,2.60105722,4.320358627
773,2.598572641,4.326092899
774,2.596095629,4.331825541
775,2.593626145,4.337556522
776,2.591762798,4.343642987
777,2.589906693,4.349726046
778,2.588057812,4.355805693
779,2.586216109,4.361881906
780,2.584381565,4.367954679
781,2.582107388,4.37478081
782,2.579842606,4.381603019
783,2.577587181,4.388421286
784,2.575341073,4.395235594
785,2.573104253,4.402045928
786,2.570876666,4.408852261
787,2.568658281,4.415654579
788,2.565864889,4.423459727
789,2.563084065,4.431260159
790,2.560315754,4.439055841
791,2.557559906,4.446846748
792,2.554816447,4.454632841
793,2.552085331,4.462414093
794,2.549939657,4.4691857
795,2.547802848,4.475953138
796,2.545674867,4.48271639
797,2.543555676,4.489475445
798,2.541445248,4.496230289
799,2.539343527,4.502980899
800,2.537250486,4.509727268
801,2.535588058,4.51571775
802,2.533932106,4.521704537
803,2.532282604,4.527687621
804,2.530639536,4.533666999
805,2.529002857,4.539642657
806,2.527372552,4.545614592
807,2.525748594,4.551582797
808,2.524130958,4.557547267
809,2.522519619,4.563507996
810,2.520914551,4.569464977
811,2.519315738,4.575418209
812,2.517723137,4.581367677
813,2.516136732,4.587313381
814,2.514556498,4.593255314
815,2.51362636,4.599545356
816,2.51270172,4.605829994
817,2.511782535,4.612109225
818,2.510868784,4.618383056
819,2.509960442,4.624651492
820,2.509057479,4.630914535
821,2.508159878,4.637172196
822,2.507267595,4.643424468
823,2.506380611,4.649671361
824,2.5054989,4.655912879
825,2.504223302,4.662892119
826,2.502954855,4.66986511
827,2.50169353,4.676831858
828,2.500439288,4.683792366
829,2.499192102,4.690746638
830,2.497951916,4.697694669
831,2.496718702,4.704636466
832,2.495492422,4.711572031
833,2.494273041,4.718501366
834,2.493060529,4.725424479
835,2.491854833,4.732341365
836,2.490655926,4.73925203
837,2.489463771,4.746156476
838,2.488278342,4.753054713
839,2.487484603,4.759209982
840,2.486695682,4.765359946
841,2.485911555,4.771504612
842,2.485132207,4.777643989
843,2.484357597,4.783778075
844,2.483587709,4.789906879
845,2.48282252,4.796030407
846,2.482062006,4.802148665
847,2.481306153,4.808261663
848,2.48055492,4.814369399
849,2.479808293,4.820471882
850,2.479066249,4.826569119
851,2.478328772,4.83266112
852,2.477595825,4.838747882
853,2.476867392,4.844829417
854,2.47677239,4.851226801
855,2.476309169,4.85834701
856,2.475851211,4.865459522
857,2.47539849,4.872564355
858,2.474950982,4.879661531
859,2.474508639,4.886751054
860,2.474071435,4.893832945
861,2.473639348,4.900907224
862,2.473577927,4.907248492
863,2.473519919,4.913583294
864,2.473465303,4.919911646
865,2.473414067,4.926233566
866,2.473366174,4.93254906
867,2.47269896,4.93854636
868,2.472035923,4.944538563
869,2.471377025,4.950525669
870,2.470722255,4.956507688
871,2.470071592,4.962484626
872,2.469425016,4.968456492
873,2.468782515,4.974423294
874,2.468144053,4.980385032
875,2.467509619,4.986341717
876,2.466879192,4.992293356
877,2.466252761,4.998239959
878,2.465135234,5.005186482
879,2.464023914,5.012126679
880,2.462786431,5.018995617
881,2.461555255,5.025858561
882,2.460330371,5.032715523
883,2.459111739,5.039566504
884,2.457899327,5.046411508
885,2.456693096,5.053250535
886,2.455631649,5.059797957
887,2.454575657,5.066339783
888,2.453525084,5.072876014
889,2.452479921,5.079406663
890,2.451440131,5.085931731
891,2.450405689,5.092451224
892,2.44937656,5.098965143
893,2.448352733,5.105473502
894,2.448281359,5.112429829
895,2.44821383,5.119378543
896,2.448150104,5.126319657
897,2.448090165,5.13325319
898,2.448033996,5.140179168
899,2.447981558,5.1470976
900,2.447395887,5.155139272
901,2.446816535,5.16317148
902,2.446243444,5.171194238
903,2.445676578,5.179207571
904,2.445115904,5.187211506
905,2.444561363,5.195206056
906,2.444012923,5.203191248
907,2.443997544,5.210043432
908,2.443985647,5.216888247
909,2.443977219,5.223725716
910,2.443972245,5.230555862
911,2.443970686,5.237378693
912,2.44397253,5.244194233
913,2.443977762,5.251002504
914,2.443986345,5.257803517
915,2.443998265,5.264597293
916,2.444013509,5.271383854
917,2.444032039,5.278163213
918,2.444703306,5.285235767
919,2.445376652,5.292299916
920,2.446052077,5.299355693
921,2.446601602,5.306680638
922,2.447153684,5.313996721
923,2.447708317,5.321303976
924,2.448265474,5.328602428
925,2.448825127,5.3358921
926,2.449387271,5.343173028
927,2.449951878,5.350445234
928,2.450518921,5.357708744
929,2.451528815,5.36399977
930,2.452539464,5.370283961
931,2.453550853,5.376561335
932,2.454562988,5.382831919
933,2.455575855,5.389095729
934,2.456589436,5.395352783
935,2.45760374,5.401603108
936,2.458618751,5.407846721
937,2.459323982,5.414767125
938,2.460031018,5.421679606
939,2.460739835,5.428584184
940,2.461450411,5.435480882
941,2.462162747,5.442369728
942,2.462241846,5.448963786
943,2.462323781,5.455551155
944,2.462286039,5.46240355
945,2.462251589,5.469248841
946,2.462220418,5.476087051
947,2.462192492,5.482918189
948,2.462167798,5.489742277
949,2.462146322,5.496559334
950,2.462128032,5.503369372
951,2.462112914,5.510172411
952,2.462221422,5.516698551
953,2.462332576,5.523218161
954,2.463075143,5.53001129
955,2.46381924,5.536796866
956,2.464564871,5.543574917
957,2.465312014,5.550345463
958,2.466060649,5.557108522
959,2.466335205,5.564936984
960,2.466613182,5.572755975
961,2.466894546,5.580565523
962,2.467179286,5.588365662
963,2.467467369,5.596156417
964,2.467758763,5.603937814
965,2.468053459,5.611709889
966,2.468006639,5.618049959
967,2.467962546,5.624384079
968,2.467921148,5.630712255
